Column1,Column2,Column3,Column4,Column5,Column6,,
問題番号,分野,肢,文章,正誤,簡単な解説,,
令和8年度午前第1問,憲法,ア,労働基本権は、社会権として、国に対して労働者の労働基本権を保障する措置を実施すべき義務を負わせるという意味を有する。,○,労働基本権は、国家に対し労働者の権利を保障する措置を講ずることを要求する社会権的性格を有する。,,
令和8年度午前第1問,憲法,イ,労働基本権は、自由権として、国に対して労働基本権を制限するような立法その他の国家行為を禁止するという意味を有する。,○,労働基本権は、国家からの不当な干渉や制限を受けないという自由権的性格も併せ持つ。,,
令和8年度午前第1問,憲法,ウ,労働組合は、労働者の団結権保障の効果として、その目的を達成するために必要であり、かつ、合理的な範囲内において、その組合員に対する統制権を有する。,○,判例（国労札幌支部事件等）の趣旨の通り。労働組合は目的達成のために合理的な範囲で組合員に対する統制権を有する。,,
令和8年度午前第1問,憲法,エ,労働組合の多数決による政治的活動に対してこれと異なる政治的思想、見解、判断等を持つ個々の組合員の協力義務を一般的に認めることは、組合員の個人としての政治的自由を侵害するものではない。,×,判例（三井美唄炭鉱労組事件）によれば、特定の政治的活動に対する協力義務を一般的に組合員に課すことは、個人の政治的自由を侵害するものであり許されない。,,
令和8年度午前第1問,憲法,オ,非現業の国家公務員について、その争議行為及びそのあおり行為等を職務内容等の別なく一律に禁止することは、法律に勤務条件についての周到詳密な規定が設けられ、中央人事行政機関として準司法機関的性格を持つ人事院が設けられていることを踏まえても、違憲である。,×,判例（全農林警職法事件）によれば、代償措置（人事院勧告制度等）が設けられていること等から、非現業の国家公務員の争議行為を一律に禁止することも違憲ではない。,,
令和8年度午前第2問,憲法,ア,法律で一旦定められた財産権の内容を事後の法律で変更することは、それが公共の福祉に適合するようにされたものであっても、当該財産権に対する制約として許されない。,×,判例（農地改革に関する最大判昭28.12.23等）によれば、公共の福祉に適合するように事後の法律で財産権の内容を変更・制限することは許容される。,,
令和8年度午前第2問,憲法,イ,憲法第29条は、社会的経済的活動の基礎をなす国民の個々の財産権を基本的人権として保障するのみでなく、私有財産制度をも保障する規定である。,○,判例（森林法違憲判決等）の趣旨の通り。憲法29条は個別の財産権の保障とともに私有財産制度の保障も規定している。,,
令和8年度午前第2問,憲法,ウ,憲法第29条第3項の補償を要する場合であっても、これについて損失補償に関する法令の規定がないときは、直接同項を根拠にして補償請求をすることはできない。,×,判例（河川附近地制限令事件）によれば、損失補償に関する明文の規定がない場合であっても、憲法29条3項を直接の根拠として補償請求をすることができる。,,
令和8年度午前第2問,憲法,エ,憲法第29条第3項の補償を要する場合とは、特定の人に対し特別に財産上の犠牲を強いる場合をいい、公共の福祉のためにする一般的な制限を課す場合には、原則的には、何人もこれを受忍すべきものとして補償を要しない。,○,判例の趣旨の通り。一般的な制限（内在的制約等）による場合は受忍限度内として補償を要しないが、特別の犠牲を強いる場合には補償を要する。,,
令和8年度午前第2問,憲法,オ,憲法第29条第3項の「正当な補償」とは、その当時の経済状態において成立すると考えられる価格に基づき合理的に算出された相当な額をいう。,○,判例（農地改革に関する最大判昭28.12.23）の趣旨の通り。完全な市場価格ではなく、合理的に算出された相当額（相当補償）で足りる場合がある。,,
令和8年度午前第3問,憲法,1,（空欄補充問題のため、正しい組合せの肢のみ判定）ア：出席議員、イ：過半数、ウ：過半数、エ：内閣、オ：国民,×,空欄補充問題の選択肢全体として。各ア〜オに入る正しい語句は「ア：総議員」「イ：3分の2以上」「ウ：過半数」「エ：天皇」「オ：国民」である。,,
令和8年度午前第3問,憲法,2,（空欄補充問題のため、正しい組合せの肢のみ判定）ア：総議員、エ：天皇,○,アは「総議員」、エは「天皇」であり、これが正しい組み合わせとなる。,,
令和8年度午前第3問,憲法,3,（空欄補充問題のため、正しい組合せの肢のみ判定）イ：3分の2以上、エ：内閣,×,憲法改正の公布は「天皇」が国民の名で行うため、内閣とするエが誤り。,,
令和8年度午前第3問,憲法,4,（空欄補充問題のため、正しい組合せの肢のみ判定）イ：過半数、オ：国民,×,発議要件は各議院の総議員の「3分の2以上」の賛成であるため、過半数とするイが誤り。,,
令和8年度午前第3問,憲法,5,（空欄補充問題のため、正しい組合せの肢のみ判定）ウ：3分の2以上、オ：天皇,×,国民投票の要件は「過半数」の賛成であるため、3分の2以上とするウが誤り。また公布は「国民」の名で行うためオも誤り。,,
令和8年度午前第4問,民法,ア,家庭裁判所は、本人の請求によって後見開始の審判をすることができない。,×,民法7条の規定により、本人自身も後見開始の審判を請求することができる。,,
令和8年度午前第4問,民法,イ,家庭裁判所は、後見開始の審判をする場合であっても、本人の生活の状況等を考慮し、成年後見人を付さないことができる。,×,民法843条1項等の規定により、後見開始の審判をするときは、必ず成年後見人を付さなければならない。,,
令和8年度午前第4問,民法,ウ,家庭裁判所は、精神上の障害により事理を弁識する能力が著しく不十分である者について、後見開始の審判をすることができる。,×,事理を弁識する能力が「著しく不十分」な場合は保佐開始の要件（民法11条）である。後見開始の要件は「事理を弁識する能力を欠く常況」にあること（民法7条）。,,
令和8年度午前第4問,民法,エ,家庭裁判所は、本人の同意がない場合には、本人以外の者の請求により、本人が特定の法律行為をするには補助人の同意を得なければならない旨の審判をすることができない。,○,民法15条2項の規定の通り。特定の法律行為について補助人の同意を要する旨の審判は、本人以外の者の請求による場合は、本人の同意がなければすることができない。,,
令和8年度午前第4問,民法,オ,家庭裁判所は、後見開始の審判をする場合において、本人が保佐開始の審判を受けた者であるときは、当該保佐開始の審判を取り消さなければならない。,○,民法19条1項の規定の通り。後見開始の審判をする場合には、既存の保佐開始や補助開始の審判を取り消さなければならない。,,
